model,cadence_s,first_report_s,trial_idx,max_visits,dt_ms,visits_at_first_packet,error,timestamp
b18c384nbt,0.25,0.012,0,2000000,295.7389139831066,237,,1779000209.8095489
b18c384nbt,0.125,0.023,0,2000000,196.76785600185394,66,,1779000210.272392
b18c384nbt,0.25,0.027,0,2000000,314.0077319741249,241,,1779000210.843851
b18c384nbt,0.125,0.021,0,2000000,191.8306559920311,66,,1779000211.2968996
b18c384nbt,0.25,0.075,0,2000000,358.1612280011177,317,,1779000211.9210968
b18c384nbt,0.125,0.022,0,2000000,197.1900059878826,62,,1779000212.376446
b18c384nbt,0.25,0.021,0,2000000,322.82742100954056,254,,1779000212.9673
b18c384nbt,0.25,0.125,0,2000000,178.16150999069214,48,,1779000213.4032433
b18c384nbt,0.25,0.05,0,2000000,330.65272599458694,261,,1779000213.9932482
b18c384nbt,0.25,0.2,0,2000000,237.84161299467087,148,,1779000214.48937
b18c384nbt,0.125,0.003,0,2000000,159.90683603286743,40,,1779000214.9063494
b18c384nbt,0.25,0.04,0,2000000,327.82923102378845,178,,1779000215.492577
b18c384nbt,0.25,0.045,0,2000000,342.7832689881325,268,,1779000216.0946813
b18c384nbt,0.125,0.015,0,2000000,181.0539830327034,73,,1779000216.5360043
b18c384nbt,0.25,0.15,0,2000000,191.62284702062607,55,,1779000216.9913151
b18c384nbt,0.25,0.06,0,2000000,340.112212985754,283,,1779000217.5897813
b18c384nbt,0.25,0.015,0,2000000,303.3846000134945,199,,1779000218.1526241
b18c384nbt,0.125,0.115,0,2000000,175.6631140112877,30,,1779000218.5866842
b18c384nbt,0.25,0.02,0,2000000,312.45329397916794,237,,1779000219.1570284
b18c384nbt,0.25,0.003,0,2000000,283.56099703907967,206,,1779000219.6986666
b18c384nbt,0.125,0.001,0,2000000,167.13874399662018,47,,1779000220.1243496
b18c384nbt,0.25,0.001,0,2000000,291.59214398264885,206,,1779000220.6755033
b18c384nbt,0.125,0.024,0,2000000,194.2799670100212,57,,1779000221.1282725
b18c384nbt,0.25,0.008,0,2000000,285.8524639904499,236,,1779000221.6755083
b18c384nbt,0.125,0.06,0,2000000,212.73740801215172,140,,1779000222.1466377
b18c384nbt,0.25,0.03,0,2000000,312.54149502515793,256,,1779000222.7167687
b18c384nbt,0.125,0.028,0,2000000,,,,1779000224.9745882
b18c384nbt,0.125,0.05,0,2000000,214.709557980299,57,,1779000225.4475062
b18c384nbt,0.25,0.115,0,2000000,161.2192149758339,31,,1779000225.86659
b18c384nbt,0.125,0.008,0,2000000,182.5212960243225,62,,1779000226.3068924
b18c384nbt,0.25,0.01,0,2000000,295.97357499599457,228,,1779000226.863411
b18c384nbt,0.25,0.026,0,2000000,318.16812801361084,252,,1779000227.4397295
b18c384nbt,0.125,0.025,0,2000000,181.63334995508194,56,,1779000227.8786268
b18c384nbt,0.125,0.075,0,2000000,110.13423800468445,1,,1779000228.2468915
b28c512nbt,0.25,0.008,0,2000000,325.72079199552536,54,,1779000228.8312864
b28c512nbt,0.25,0.028,0,2000000,420.6224670112133,64,,1779000229.5142462
b28c512nbt,0.25,0.026,0,2000000,313.1061890423298,42,,1779000230.0861936
b28c512nbt,0.125,0.024,0,2000000,325.88986998796463,62,,1779000230.6691673
b28c512nbt,0.25,0.045,0,2000000,325.53039702773094,69,,1779000231.253241
b28c512nbt,0.25,0.003,0,2000000,300.2024649977684,39,,1779000231.8106303
b28c512nbt,0.125,0.06,0,2000000,219.56860399246216,1,,1779000232.2889931
b28c512nbt,0.25,0.01,0,2000000,309.04897102713585,38,,1779000232.8575776
b28c512nbt,0.125,0.005,0,2000000,297.9193459749222,42,,1779000233.4146237
b28c512nbt,0.125,0.015,0,2000000,296.2430590093136,46,,1779000233.9685652
b28c512nbt,0.125,0.028,0,2000000,208.58407697081566,1,,1779000234.4368598
b28c512nbt,0.25,0.02,0,2000000,306.05238500237465,37,,1779000235.0000196
b28c512nbt,0.125,0.021,0,2000000,333.3832960128784,33,,1779000235.5932634
b28c512nbt,0.25,0.035,0,2000000,359.15154898166656,51,,1779000236.2130206
b28c512nbt,0.125,0.045,0,2000000,211.16986599564552,1,,1779000236.6810179
b28c512nbt,0.25,0.001,0,2000000,310.0027060210705,26,,1779000237.2483668
b28c512nbt,0.25,0.125,0,2000000,404.4276710152626,117,,1779000237.9112947
b28c512nbt,0.25,0.075,0,2000000,372.4497210085392,108,,1779000238.5409935
b28c512nbt,0.25,0.15,0,2000000,460.18390399217606,148,,1779000239.2640724
b28c512nbt,0.25,0.06,0,2000000,384.8094629943371,90,,1779000239.9077084
b28c512nbt,0.125,0.05,0,2000000,217.3766480088234,1,,1779000240.3838813
b28c512nbt,0.125,0.008,0,2000000,295.08749398589134,35,,1779000240.9370942
b28c512nbt,0.25,0.2,0,2000000,555.115758985281,115,,1779000241.751102
b28c512nbt,0.125,0.022,0,2000000,311.9374650120735,30,,1779000242.3229587
b28c512nbt,0.25,0.175,0,2000000,249.57877004146576,5,,1779000242.8312752
b28c512nbt,0.25,0.022,0,2000000,309.97154396772385,62,,1779000243.3991938
b28c512nbt,0.25,0.115,0,2000000,430.90599298477173,107,,1779000244.0922177
b28c512nbt,0.125,0.018,0,2000000,257.98385095596313,1,,1779000244.6075695
b28c512nbt,0.125,0.115,0,2000000,272.9913820028305,5,,1779000245.1399193
b28c512nbt,0.25,0.015,0,2000000,335.1045960187912,42,,1779000245.732726
b28c512nbt,0.25,0.03,0,2000000,311.7722690105438,34,,1779000246.3025382
b28c512nbt,0.25,0.018,0,2000000,313.9211640059948,49,,1779000246.877721
b28c512nbt,0.25,0.1,0,2000000,383.33969098329544,98,,1779000247.519587
b28c512nbt,0.25,0.012,0,2000000,,,,1779000249.7731783
b28c512nbt,0.125,0.026,0,2000000,324.2894969880581,27,,1779000250.3548393
b28c512nbt,0.125,0.003,0,2000000,307.6577960252762,34,,1779000250.9191604
b28c512nbt,0.125,0.075,0,2000000,301.86944699287415,1,,1779000251.481962
b28c512nbt,0.125,0.01,0,2000000,326.5575629770756,2,,1779000252.067328
b28c512nbt,0.125,0.03,0,2000000,231.93802899122238,1,,1779000252.557939
b28c512nbt,0.25,0.023,0,2000000,326.4395860135555,38,,1779000253.1487644
b28c512nbt,0.25,0.021,0,2000000,305.15708899497986,45,,1779000253.713126
b28c512nbt,0.25,0.027,0,2000000,315.0766430199146,43,,1779000254.285148
b28c512nbt,0.125,0.1,0,2000000,261.74072402715683,18,,1779000254.8043349
b28c512nbt,0.125,0.001,0,2000000,313.2439329922199,29,,1779000255.375614
b28c512nbt,0.25,0.032,0,2000000,326.05625396966934,53,,1779000255.9646225
b28c512nbt,0.125,0.023,0,2000000,181.84577503800392,1,,1779000256.4037924
b28c512nbt,0.125,0.032,0,2000000,199.7715930044651,2,,1779000256.861046
